Hora,Nombre completo del usuario,Nombre evento,Descripción,Dirección IP
5/04/2022 15:37,Seel,Se ha unido a una sesión BigBlueButtonBN,The user with id 67 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.23.134.189
5/04/2022 15:37,Seel,Actividad BigBlueButtonBN visualizada,The user with id 67 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.23.134.189
5/04/2022 15:32,Kakuna,Se ha unido a una sesión BigBlueButtonBN,The user with id 103 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,163.10.129.97
5/04/2022 15:31,Magneton,Se ha unido a una sesión BigBlueButtonBN,The user with id 74 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.8.186.208
5/04/2022 15:31,Magneton,Actividad BigBlueButtonBN visualizada,The user with id 74 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.8.186.208
5/04/2022 15:31,Magneton,Actividad BigBlueButtonBN visualizada,The user with id 74 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.8.186.208
5/04/2022 15:31,Kakuna,Se ha unido a una sesión BigBlueButtonBN,The user with id 103 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,163.10.129.97
5/04/2022 15:31,Kakuna,Actividad BigBlueButtonBN visualizada,The user with id 103 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,163.10.129.97
5/04/2022 15:29,Ninetales,Se ha unido a una sesión BigBlueButtonBN,The user with id 61 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150130
5/04/2022 15:29,Ninetales,Actividad BigBlueButtonBN visualizada,The user with id 61 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150130
5/04/2022 15:29,Ninetales,Actividad BigBlueButtonBN visualizada,The user with id 61 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150130
5/04/2022 15:27,Charmander,Se ha unido a una sesión BigBlueButtonBN,The user with id 21 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.245.64.234
5/04/2022 15:27,Charmander,Actividad BigBlueButtonBN visualizada,The user with id 21 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.245.64.234
5/04/2022 15:27,Charmander,Actividad BigBlueButtonBN visualizada,The user with id 21 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.245.64.234
5/04/2022 15:24,Ninetales,Se ha unido a una sesión BigBlueButtonBN,The user with id 61 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150139
5/04/2022 15:23,Ninetales,Se ha unido a una sesión BigBlueButtonBN,The user with id 61 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150130
5/04/2022 15:23,Ninetales,Actividad BigBlueButtonBN visualizada,The user with id 61 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150139
5/04/2022 15:22,Ninetales,Se ha unido a una sesión BigBlueButtonBN,The user with id 61 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150130
5/04/2022 15:22,Ninetales,Actividad BigBlueButtonBN visualizada,The user with id 61 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150139
5/04/2022 15:22,Ninetales,Actividad BigBlueButtonBN visualizada,The user with id 61 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150130
5/04/2022 15:20,Zubat,Se ha abandonado una sesión BigBlueButtonBN,The user with id 90 has left a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,181231132231
5/04/2022 15:19,Golem,Se ha unido a una sesión BigBlueButtonBN,The user with id 10 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,190188219185
5/04/2022 15:19,Golem,Actividad BigBlueButtonBN visualizada,The user with id 10 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190188219185
5/04/2022 15:19,Golem,Actividad BigBlueButtonBN visualizada,The user with id 10 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190188219185
5/04/2022 15:18,Ninetales,Se ha unido a una sesión BigBlueButtonBN,The user with id 61 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150139
5/04/2022 15:18,Ninetales,Actividad BigBlueButtonBN visualizada,The user with id 61 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150130
